supervoxel_id	root_id	pos_x	pos_y	pos_z	soma_x	soma_y	soma_z	nucleus_id	flow	super_class	cell_class	cell_sub_class	cell_type	hemibrain_type	ito_lee_hemilineage	hartenstein_hemilineage	morphology_group	top_nt	top_nt_conf	side	nerve	vfb_id	fbbt_id	status
80363923618583474	720575940625308162	141895	48023	2560	149952.0	43256.0	5380.0	6373028.0	intrinsic	central	CX	columnar		PFL3	DM4_CX_d2	CM4_CX_d2	DM4_CX_d2__0	acetylcholine	0.7540290841143198	right		fw031454	FBbt_00111443	
79306949547734923	720575940623430621	126840	26400	3731	126840.0	26400.0	3731.0	4395202.0	intrinsic	central	CX	columnar		PFL3	DM2_CX_d2	DPMpm1_CX_d2	DM2_CX_d2__0	acetylcholine	0.7480837669553762	left		fw031494	FBbt_00111443	
80856298937846954	720575940629606475	148804	44816	4610	149568.0	44352.0	5237.0	6372813.0	intrinsic	central	CX	columnar		PFL1	DM4_CX_d2	CM4_CX_d2	DM4_CX_d2__0	acetylcholine	0.7129829727150806	right		fw031798	FBbt_00111433	
78393667500768519	720575940612870952	113184	49780	2331	149312.0	42456.0	5245.0	6372670.0	intrinsic	central	CX	columnar		PFL3	DM4_CX_d2	CM4_CX_d2	DM4_CX_d2__0	acetylcholine	0.7570222500042328	right		fw031873	FBbt_00111443	
78815674076098841	720575940622234326	118785	46052	4567	117768.0	41616.0	5571.0	3672923.0	intrinsic	central	CX	columnar		PFL3	DM4_CX_d2	CM4_CX_d2	DM4_CX_d2__0	acetylcholine	0.733954078474858	left		fw031967	FBbt_00111443	
79517780768116362	720575940629922934	129328	22192	2668	129328.0	22192.0	2668.0	4369196.0	intrinsic	central	CX	columnar		PFL2	DM1_CX_d2	DPMm1_CX_d2	DM1_CX_d2__1	acetylcholine	0.7041356707009658	left		fw031980	FBbt_00111451	
79517849554755757	720575940622422507	129288	23784	3224	129288.0	23784.0	3224.0	4373366.0	intrinsic	central	CX	columnar		PFL1	DM1_CX_d2	DPMm1_CX_d2	DM1_CX_d2__0	acetylcholine	0.6889743679689998	left		fw031981	FBbt_00111433	
79870792653153268	720575940623585255	134262	39766	2265	150368.0	44208.0	5359.0	6373215.0	intrinsic	central	CX	columnar		PFL2	DM4_CX_d2	CM4_CX_d2	DM4_CX_d2__0	acetylcholine	0.750842244261568	right		fw032035	FBbt_00111451	
79517780768266615	720575940624754981	129256	22520	2785	129256.0	22520.0	2785.0	4369103.0	intrinsic	central	CX	columnar		PFL2	DM1_CX_d2	DPMm1_CX_d2	DM1_CX_d2__1	acetylcholine	0.7345081368285526	left		fw032282	FBbt_00111451	
78814918295660721	720575940635153527	119104	35296	5260	119104.0	35296.0	5260.0	3629712.0	intrinsic	central	CX	columnar		PFL2	DM4_CX_d2	CM4_CX_d2	DM4_CX_d2__0	acetylcholine	0.7073907371070378	left		fw032595	FBbt_00111451	
79940199459165601	720575940616654370	135840	25288	3492	135840.0	25288.0	3492.0	4942869.0	intrinsic	central	CX	columnar		PFL3	DM2_CX_d1	DPMpm1_CX_d1	DM2_CX_d1__0	acetylcholine	0.7583298554666392	right		fw032843	FBbt_00111443	
78462455898084685	720575940641149429	113775	25444	3690	85432.0	42360.0	3305.0	1814815.0	intrinsic	central				NPFL1-I	putative_primary	putative_primary		serotonin	0.463961211469494	left		fw036611	FBbt_00048114	
78323298756556641	720575940605640905	112543	48962	2290	131648.0	24216.0	2960.0	4919673.0	intrinsic	central	CX	columnar		PFL3	DM1_CX_d2	DPMm1_CX_d2	DM1_CX_d2__0	acetylcholine	0.7209582777300236	right		fw039358	FBbt_00111443	
79871273890634874	720575940616764731	134210	47001	3674	129792.0	22592.0	2904.0	4369585.0	intrinsic	central	CX	columnar		PFL1	DM1_CX_d2	DPMm1_CX_d2	DM1_CX_d2__0	acetylcholine	0.6946520297342101	left		fw043441	FBbt_00111433	
79941161598587383	720575940635990640	136043	39622	3767	135541.0	22315.0	2477.0		intrinsic	central	CX	columnar		PFL2	DM1_CX_d2	DPMm1_CX_d2	DM1_CX_d2__1	acetylcholine	0.7727913664777383	right		fw044160	FBbt_00111451	
